အင်္ဂလိပ်,Myanmar,REMARK
CHOHT,ချို့,Byee-Thara
CHOKE,ချုတ်,Byee-Thara
CHON,ချုံ,
CHONE,ချုံး,
CHONT,ချွန့်,Byee-Thara
CHOO,ခြူး,
CHOON,ချွန်း,mmaws
CHOR,ချော,
CHOW,ချိုး,
CHREEY,ချယ်ရီ,
CHRISTIN,ခရစ်စတင်း,
CHRISTINE,ခရစ်စတင်း,
CHRISTO,ခရစ်စတို,
CHRISTOBEL,ခရစ်တိုဘဲလ်,
CHRISTOPHAR,ခရစ်စတိုဖာ,
CHRISTOPHER,ခရစ်စတိုဖာ,
CHU,ခြူး,
CHUE,ခြူး,
CHUN,ချွန်,
CHUNN,ချွန်း,Byee-Thara
CHUT,ချက်,
CHUU,ခြူး,
CHWA,ချွ,Byee-Thara
CHWAM,ချွမ်,
CHWAN,ချွမ်,Byee-Thara
CHWAY,ခြွေ,mmaws
CHWE,ခွေ,Byee-Thara
CHWIN,ချွမ်,Nan OnePay
CHWUT,ချွတ်,
CHY,ချိုင်,Byee-Thara
CHYA,ချ,Byee-Thara
CHYAW,ချော်,Byee-Thara
CHYAWE,ချွယ်,Byee-Thara
CHYAWT,ချော့,Byee-Thara
CHYAY,ချေ,Byee-Thara
CHYE,ချေး,Byee-Thara
CHYI,ခြည်,
CHYO,ချိုး,Byee-Thara
CHYU,ချူ,Byee-Thara
CHYUN,ချွန်း,
CI,စီ,
CIIN,စင်,
CIN,ကျင်,
CINDY,စင်ဒီ,
CING,ကျိန်,
CISSY,စီဆီ,
CO,ကို,mmaws
COHEN,ကိုးဟန်,
COLN,ကို,
CONG,ကျဲ,
CONNY,ကော်နီ,
COX,ကော့,
CRONIN,ခရိုနင်,
CRUZ,ကရုဇ်,
CUZA,ကူဇာ,
CYNTHIA,စင်သီယာ,
D,ဒီ,
DA,ဒ,
DA-R,ဒရာ,
DAE,ဒေ,
DAEIN,ဒိန်း,mmaws
DAEWI,ဒေဝီ,
DAGON,ဒဂုန်,
DAGU,တန်ခူး,
DAH,ဒါရ်,
DAHMMA,ဓမ္မာ,mmaws
DAI,ဒိုင်း,Byee-Thara
DAIK,ဒိုက်,Byee-Thara
DAIKE,ဒိုက်,Byee-Thara
DAILY,ဒေလီ,
DAIN,ဒိမ်,
DAINE,ဒိုင်,Byee-Thara
DAING,ဒိုင်,Byee-Thara
DAINT,ဒိမ့်,
DAISY,ဒေစီ,
DAIVE,ဒေဝီ,
DAKA,ဓက,
DAKE,ဒိတ်,
DALA,ဒလ,
DALE,ဒေးလ်,
DAM,ဒမ်,Byee-Thara
DAMA,ဓမ္မ,
DAME,ဒိမ်း,
DAN,ဒန်,
DANA,ဓန,
DANE,ဒိမ်း,
DANG,ဒန်း,
DANIEL,ဒယ်နရယ်,
DANN,ဒန်း,Byee-Thara
DANT,ဒန့်,Byee-Thara
DAR,ဒါ,
DARA,ဒြာ,
DARASA,ဒရဆာ,
DARLE,ဒါလီ,
DARLI,ဒါလီ,
DARLY,ဒါလီ,
DARN,ဒရမ်,
DASS,ဒက်စ်,
DAT,ဒက်,Byee-Thara
DATE,ဒိတ်,
DATHANA,ဒဿန,
DATT,ဒတ်,mmaws
DATTA,ဒတ္တ,
DAU,ဒေါန်,
DAUK,ဒေါက်,Byee-Thara
DAUN,ဒေါန်,
DAUNG,ဒေါင်း,
DAUNT,ဒေါင့်,mmaws
DAV,ဒက်ဗ်,
DAVE,ဒေ့ဗ်,mmaws
DAVID,ဒေးဗစ်,
DAVIS,ဒေးဗစ်,
DAW,ဒေါ်,
DAW.,ဒေါ်,
DAWEI,ထားဝယ်,
DAWI,ဒေဝီ,
DAWIE,ဒေဝီ,
DAWN,ဒေါန်း,
DAY,ဒေ,
DAYA,ဒေရာ,
DAYAL,ဒေးရယ်,
DAYAR,ဒေရာ,
DAYAW,ဒယော,
DAYS,ဒေး,
DAYWEI,ဒေဝီ,
DAYWI,ဒေဝီ,
DDI,တီ,
DDWE,ဒွေး,
DDY,တီ,
DE,ဒီ,
DECEMBER,ဒီဇင်ဘာ,
DEE,ဒီး,Byee-Thara
DEEP,ဒိ့,
DEIGHT,တိုက်,mmaws
DEIK,ဒိတ်,
DEIN,ဒိမ်,
DEINT,ဒိမ့်,
DEKEN,ဒီကန်,
DEL,ဒယ်လ်,mmaws
DELHI,ဒါလီ,
DENIAL,ဒန်နီရယ်,
DEOGHARKAR,ဒီဟတ်ကာ,
DEPAD,ဒီပက်ဒ်,
DEPAR,ဒီပါ,
DET,ဒက်,Byee-Thara
DEVENDRA,ဒီဗန္ဒြာ,
DEVI,ဒေဝီ,
DEWA,ဒီဝါ,
DEYO,ဒီယို,
DHA,ဓ,
DHAI,ဓိုင်း,Byee-Thara
DHAIK,ဓိုက်,Byee-Thara
DHAIKE,ဓိုက်,Byee-Thara
DHAIN,ဓိန်,Byee-Thara
DHAINE,ဓိုင်,Byee-Thara
DHAING,ဓိုင်,Byee-Thara
DHAM,ဓမ်,Byee-Thara
DHAMA,ဓမ္မ,
DHAMMA,ဓမ္မ,
